Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL
19/01/2016,2.08,2.11,1.9,1.95,1.95,18978900,Tuesday,OP
20/01/2016,1.81,1.95,1.75,1.8,1.8,29243600,Wednesday,
21/01/2016,1.82,2.18,1.81,2.09,2.09,26387900,Thursday,
22/01/2016,2.11,2.17,1.98,2.02,2.02,16245500,Friday,CL
25/01/2016,2.01,2.15,2.01,2.12,2.12,13080900,Monday,OP
26/01/2016,2.14,2.15,2.03,2.07,2.07,11092900,Tuesday,
27/01/2016,2.08,2.18,2.07,2.13,2.13,10833200,Wednesday,
28/01/2016,2.16,2.17,2.07,2.08,2.08,7118400,Thursday,
29/01/2016,2.09,2.2,2.07,2.2,2.2,11998100,Friday,CL
01/02/2016,2.17,2.19,2.11,2.14,2.14,8816100,Monday,OP
02/02/2016,2.11,2.14,1.96,1.99,1.99,11224100,Tuesday,
03/02/2016,2.04,2.08,1.95,2.07,2.07,9978600,Wednesday,
04/02/2016,2.06,2.17,2.03,2.09,2.09,8278600,Thursday,
05/02/2016,2.06,2.08,1.98,1.98,1.98,7914400,Friday,CL
08/02/2016,1.97,1.98,1.87,1.93,1.93,11589000,Monday,OP
09/02/2016,1.89,2,1.85,1.9,1.9,14626600,Tuesday,
10/02/2016,1.92,1.98,1.83,1.84,1.84,9466100,Wednesday,
11/02/2016,1.82,1.94,1.81,1.86,1.86,7858300,Thursday,
12/02/2016,1.89,1.91,1.82,1.83,1.83,9957300,Friday,CL
16/02/2016,1.86,1.9,1.82,1.83,1.83,11853400,Tuesday,OP
17/02/2016,1.85,1.94,1.85,1.9,1.9,13770200,Wednesday,
18/02/2016,1.93,1.98,1.9,1.91,1.91,10823400,Thursday,
19/02/2016,1.93,1.93,1.83,1.91,1.91,7784100,Friday,CL
22/02/2016,1.94,2.04,1.93,2.01,2.01,9895500,Monday,OP
23/02/2016,2.04,2.06,1.97,1.97,1.97,6710600,Tuesday,
24/02/2016,1.98,2.04,1.93,2.02,2.02,6906200,Wednesday,
25/02/2016,2.02,2.04,1.98,2.03,2.03,5579800,Thursday,
26/02/2016,2.04,2.1,2.03,2.07,2.07,7911500,Friday,CL
29/02/2016,2.06,2.15,2.05,2.14,2.14,11400300,Monday,OP
01/03/2016,2.16,2.2,2.12,2.18,2.18,9011200,Tuesday,
02/03/2016,2.2,2.33,2.18,2.32,2.32,10845700,Wednesday,
03/03/2016,2.32,2.55,2.3,2.46,2.46,22065300,Thursday,
04/03/2016,2.42,2.5,2.34,2.37,2.37,15449000,Friday,CL
07/03/2016,2.36,2.47,2.36,2.47,2.47,8754300,Monday,OP
08/03/2016,2.44,2.46,2.3,2.3,2.3,10026900,Tuesday,
09/03/2016,2.32,2.35,2.2,2.26,2.26,13082400,Wednesday,
10/03/2016,2.29,2.31,2.15,2.26,2.26,9603500,Thursday,
11/03/2016,2.29,2.54,2.29,2.52,2.52,21382400,Friday,CL
14/03/2016,2.53,2.75,2.5,2.72,2.72,33848000,Monday,OP
15/03/2016,2.67,2.69,2.45,2.49,2.49,21573600,Tuesday,
16/03/2016,2.5,2.64,2.49,2.63,2.63,13015700,Wednesday,
17/03/2016,2.77,2.81,2.7,2.8,2.8,29000800,Thursday,
18/03/2016,2.8,2.93,2.77,2.93,2.93,26330500,Friday,CL
21/03/2016,2.9,2.9,2.75,2.8,2.8,13464900,Monday,OP
22/03/2016,2.73,2.85,2.71,2.79,2.79,10315800,Tuesday,
23/03/2016,2.8,2.83,2.68,2.68,2.68,10167100,Wednesday,
24/03/2016,2.69,2.81,2.62,2.79,2.79,10040200,Thursday,CL
28/03/2016,2.81,2.84,2.73,2.78,2.78,7683700,Monday,OP
29/03/2016,2.74,2.88,2.7,2.86,2.86,13566000,Tuesday,
30/03/2016,2.88,2.98,2.85,2.86,2.86,14945900,Wednesday,
31/03/2016,2.84,2.88,2.8,2.85,2.85,9071500,Thursday,
01/04/2016,2.79,2.88,2.76,2.83,2.83,8257700,Friday,CL
04/04/2016,2.83,2.87,2.8,2.83,2.83,5591100,Monday,OP
05/04/2016,2.76,2.84,2.72,2.76,2.76,9640200,Tuesday,
06/04/2016,2.75,2.8,2.72,2.8,2.8,12473400,Wednesday,
07/04/2016,2.76,2.83,2.61,2.64,2.64,13479200,Thursday,
08/04/2016,2.7,2.76,2.68,2.74,2.74,8489000,Friday,CL
11/04/2016,2.76,2.82,2.74,2.76,2.76,9045100,Monday,OP
12/04/2016,2.79,2.85,2.76,2.81,2.81,16110100,Tuesday,
13/04/2016,2.78,2.82,2.73,2.8,2.8,8048000,Wednesday,
14/04/2016,2.77,2.79,2.7,2.72,2.72,8935400,Thursday,
15/04/2016,2.72,2.75,2.68,2.7,2.7,7487500,Friday,CL
18/04/2016,2.67,2.8,2.65,2.76,2.76,8923100,Monday,OP
19/04/2016,2.78,2.78,2.61,2.62,2.62,11719900,Tuesday,
20/04/2016,2.62,2.72,2.61,2.7,2.7,7926100,Wednesday,
21/04/2016,2.65,2.7,2.6,2.62,2.62,13957200,Thursday,
22/04/2016,3.19,3.99,3.18,3.99,3.99,143265300,Friday,CL
25/04/2016,3.81,3.82,3.31,3.45,3.45,80607900,Monday,OP
26/04/2016,3.45,3.75,3.44,3.66,3.66,36336900,Tuesday,
27/04/2016,3.55,3.75,3.53,3.73,3.73,24186800,Wednesday,
28/04/2016,3.69,3.8,3.6,3.61,3.61,20230000,Thursday,
29/04/2016,3.69,3.69,3.45,3.55,3.55,17717800,Friday,CL
02/05/2016,3.58,3.75,3.57,3.74,3.74,16972800,Monday,OP
03/05/2016,3.7,3.71,3.58,3.6,3.6,13784800,Tuesday,
04/05/2016,3.54,3.67,3.54,3.6,3.6,8688500,Wednesday,
05/05/2016,3.64,3.8,3.61,3.66,3.66,21529600,Thursday,
06/05/2016,3.65,3.75,3.64,3.68,3.68,11839300,Friday,CL
